MoveEvent(x=170, y=222, time=1643694472.155297)
MoveEvent(x=158, y=210, time=1643694472.163299)
MoveEvent(x=158, y=210, time=1643694472.163299)
MoveEvent(x=155, y=206, time=1643694472.171299)
MoveEvent(x=155, y=206, time=1643694472.171299)
MoveEvent(x=152, y=203, time=1643694472.179298)
MoveEvent(x=152, y=203, time=1643694472.179298)
MoveEvent(x=149, y=201, time=1643694472.1873)
MoveEvent(x=149, y=201, time=1643694472.1873)
MoveEvent(x=147, y=199, time=1643694472.195299)
MoveEvent(x=147, y=199, time=1643694472.195299)
MoveEvent(x=145, y=197, time=1643694472.203299)
MoveEvent(x=145, y=197, time=1643694472.203299)
MoveEvent(x=143, y=194, time=1643694472.211301)
MoveEvent(x=143, y=194, time=1643694472.211301)
MoveEvent(x=141, y=191, time=1643694472.219296)
MoveEvent(x=141, y=191, time=1643694472.219296)
MoveEvent(x=139, y=187, time=1643694472.227298)
MoveEvent(x=139, y=187, time=1643694472.227298)
MoveEvent(x=137, y=183, time=1643694472.235298)
MoveEvent(x=137, y=183, time=1643694472.235298)
MoveEvent(x=135, y=181, time=1643694472.243298)
MoveEvent(x=135, y=181, time=1643694472.243298)
MoveEvent(x=133, y=177, time=1643694472.251299)
MoveEvent(x=133, y=177, time=1643694472.251299)
MoveEvent(x=131, y=176, time=1643694472.259299)
MoveEvent(x=131, y=176, time=1643694472.259299)
MoveEvent(x=131, y=173, time=1643694472.267297)
MoveEvent(x=129, y=171, time=1643694472.275299)
MoveEvent(x=129, y=171, time=1643694472.275299)
MoveEvent(x=128, y=169, time=1643694472.283298)
MoveEvent(x=128, y=169, time=1643694472.283298)
MoveEvent(x=127, y=167, time=1643694472.291298)
MoveEvent(x=127, y=167, time=1643694472.291298)
MoveEvent(x=126, y=165, time=1643694472.299296)
MoveEvent(x=126, y=165, time=1643694472.299296)
MoveEvent(x=125, y=164, time=1643694472.307295)
MoveEvent(x=125, y=164, time=1643694472.307295)
MoveEvent(x=124, y=162, time=1643694472.315299)
MoveEvent(x=124, y=162, time=1643694472.315299)
MoveEvent(x=123, y=161, time=1643694472.3233)
MoveEvent(x=123, y=161, time=1643694472.3233)
MoveEvent(x=122, y=160, time=1643694472.331295)
MoveEvent(x=122, y=160, time=1643694472.331295)
MoveEvent(x=122, y=159, time=1643694472.339295)
MoveEvent(x=121, y=158, time=1643694472.347297)
MoveEvent(x=121, y=158, time=1643694472.347297)
MoveEvent(x=121, y=157, time=1643694472.355298)
MoveEvent(x=121, y=156, time=1643694472.363297)
MoveEvent(x=120, y=155, time=1643694472.371299)
MoveEvent(x=120, y=155, time=1643694472.371299)
MoveEvent(x=119, y=154, time=1643694472.379298)
MoveEvent(x=119, y=154, time=1643694472.379298)
MoveEvent(x=119, y=153, time=1643694472.387299)
MoveEvent(x=119, y=152, time=1643694472.395296)
MoveEvent(x=118, y=151, time=1643694472.403299)
MoveEvent(x=118, y=151, time=1643694472.403299)
MoveEvent(x=117, y=149, time=1643694472.411301)
MoveEvent(x=117, y=149, time=1643694472.411301)
MoveEvent(x=117, y=148, time=1643694472.419298)
MoveEvent(x=117, y=147, time=1643694472.427299)
MoveEvent(x=117, y=146, time=1643694472.435298)
MoveEvent(x=116, y=145, time=1643694472.443296)
MoveEvent(x=116, y=145, time=1643694472.443296)
MoveEvent(x=116, y=144, time=1643694472.451296)
MoveEvent(x=117, y=143, time=1643694472.459307)
MoveEvent(x=117, y=143, time=1643694472.459307)
